obs_id,score,rank
2046,0.603765449,1
2058,0.588046275,2
239,0.580569401,3
367,0.573342897,4
747,0.573091409,5
398,0.568115042,6
388,0.5656842910000001,7
2008,0.562139993,8
726,0.5610399939999999,9
214,0.560969568,10
2391,0.559406271,11
1298,0.559365431,12
470,0.5588825850000001,13
420,0.5447767419999999,14
2158,0.5444294099999999,15
2017,0.5398522809999999,16
1950,0.53942676,17
502,0.533705702,18
1257,0.53235823,19
2381,0.5323526580000001,20
445,0.5314655380000001,21
1198,0.527592579,22
719,0.5145424599999999,23
1240,0.5135711369999999,24
1596,0.513121404,25
2031,0.5129274779999999,26
350,0.511957504,27
2364,0.511840772,28
415,0.511125136,29
2174,0.510123678,30
2033,0.506965301,31
238,0.5040687859999999,32
2188,0.5034177700000001,33
2129,0.501375483,34
187,0.499894317,35
1072,0.498200885,36
2018,0.495868077,37
1534,0.495842965,38
284,0.495656938,39
439,0.49478314200000006,40
390,0.4944273250000001,41
2077,0.493806972,42
1184,0.49178081999999995,43
425,0.490879178,44
1872,0.489937838,45
1233,0.489803521,46
1524,0.48823305899999997,47
1301,0.487154692,48
1921,0.48617154500000004,49
1238,0.4859058,50
1548,0.48326378000000003,51
1879,0.480364739,52
1110,0.479568945,53
1306,0.478495673,54
2105,0.47782253499999994,55
354,0.47774231999999994,56
2386,0.47558024800000004,57
2119,0.47238178100000006,58
362,0.471892037,59
345,0.470357356,60
1486,0.470049388,61
1357,0.469802029,62
1855,0.46806690500000003,63
794,0.46682894399999997,64
1237,0.466450856,65
1219,0.465623318,66
731,0.46378069000000005,67
448,0.46377462300000005,68
2073,0.460320119,69
1235,0.45991999199999994,70
2080,0.45958833000000004,71
1263,0.459387784,72
1262,0.456390861,73
432,0.45620760400000004,74
722,0.455957043,75
302,0.454459498,76
1958,0.453534792,77
2066,0.45341119900000004,78
2478,0.45325766900000003,79
394,0.451729806,80
720,0.45079877599999996,81
2237,0.45044781399999995,82
2090,0.450115819,83
1261,0.448850603,84
472,0.44763951500000004,85
2056,0.44724071200000004,86
1091,0.445165809,87
449,0.444799095,88
269,0.443638128,89
2037,0.442083517,90
2409,0.4408785860000001,91
717,0.440569218,92
789,0.43976353100000004,93
1225,0.439415547,94
1076,0.439118176,95
1911,0.43883558600000006,96
437,0.43841180900000004,97
1165,0.437949728,98
2055,0.4353403,99
397,0.43505623499999996,100
336,0.432825307,101
2109,0.43268799700000005,102
2127,0.431823109,103
446,0.431487891,104
2011,0.43078297800000004,105
2249,0.429016563,106
1220,0.428378731,107
2048,0.427796791,108
1538,0.42736393899999997,109
838,0.427350114,110
1280,0.427131692,111
755,0.42494874200000005,112
2101,0.42480427,113
1913,0.424605628,114
2125,0.42380782100000003,115
181,0.423732667,116
400,0.42238034500000005,117
1498,0.422087399,118
1276,0.421603135,119
484,0.421508859,120
1916,0.42150504,121
2373,0.421051052,122
258,0.42103895300000005,123
1239,0.418908352,124
361,0.41889054300000006,125
366,0.41887637299999997,126
1522,0.41870686900000004,127
2061,0.417833724,128
1253,0.417304475,129
1146,0.41693130500000003,130
701,0.416622751,131
1256,0.416026044,132
816,0.41582350399999995,133
730,0.415638754,134
1891,0.41480645800000004,135
2132,0.413866715,136
2124,0.41255084999999997,137
421,0.41142428,138
1990,0.41055747400000003,139
1526,0.40930484,140
2054,0.40891757500000003,141
2405,0.40839121600000006,142
1545,0.40834926899999996,143
29,0.40767170199999997,144
1850,0.406850849,145
2366,0.406664747,146
1543,0.40656816900000003,147
2051,0.40601504499999996,148
1551,0.404470759,149
1155,0.40410389300000005,150
2050,0.40256503299999996,151
337,0.402096197,152
1224,0.40200967100000007,153
1115,0.401462231,154
2164,0.40091579299999996,155
2151,0.400171042,156
2246,0.399545712,157
1889,0.39837372600000004,158
2069,0.39734809899999995,159
469,0.39638765600000003,160
326,0.39551554,161
2079,0.394758074,162
2103,0.393823371,163
2083,0.393798044,164
690,0.393462416,165
424,0.393332282,166
2394,0.3933031920000001,167
222,0.39300461000000003,168
2111,0.39292688299999995,169
2427,0.392876997,170
582,0.39252236500000004,171
698,0.392383374,172
1860,0.391884582,173
667,0.391650879,174
1169,0.39146433,175
742,0.39139572100000003,176
2099,0.39139261999999997,177
812,0.39112691899999996,178
395,0.389731598,179
1058,0.389237467,180
1492,0.38881339,181
1901,0.387783289,182
1900,0.38679386,183
1244,0.386412121,184
460,0.386313869,185
2065,0.38630200699999995,186
2087,0.385623433,187
682,0.385504892,188
2075,0.3852020020000001,189
1080,0.385126485,190
1999,0.38504178599999994,191
500,0.384521977,192
1941,0.384472089,193
709,0.384162009,194
2206,0.383494876,195
634,0.38339334999999997,196
304,0.383297056,197
1188,0.38272791,198
2045,0.3812402710000001,199
1196,0.380752743,200
2135,0.380602715,201
2350,0.380534091,202
2186,0.38029020999999996,203
482,0.38018115199999997,204
1113,0.37874107900000004,205
1017,0.378263748,206
380,0.378262726,207
1640,0.378124771,208
1949,0.377656822,209
2377,0.37738291500000004,210
481,0.376924693,211
2276,0.376924683,212
208,0.37660370600000004,213
2411,0.37631154699999997,214
813,0.375900313,215
247,0.37530751300000004,216
833,0.375264832,217
2343,0.37523804000000005,218
2466,0.375198711,219
2379,0.374852868,220
2022,0.37481303099999996,221
740,0.373415701,222
1894,0.37337444599999997,223
1616,0.373363204,224
1083,0.372888884,225
2368,0.37247263,226
293,0.37211205799999997,227
179,0.371154933,228
298,0.371033016,229
1914,0.3709502800000001,230
2027,0.37065584400000007,231
299,0.370558853,232
1207,0.36988271300000003,233
2494,0.369704667,234
2388,0.369667651,235
1048,0.368276869,236
1302,0.36743255,237
389,0.367298898,238
1945,0.36718747000000007,239
2015,0.36685223499999997,240
576,0.366516115,241
2112,0.36646954600000003,242
2155,0.36644321399999996,243
2500,0.366122728,244
303,0.36501737700000003,245
2047,0.363732761,246
1373,0.36371784900000004,247
1193,0.363568392,248
1963,0.363517185,249
1912,0.36317134199999995,250
227,0.36281568799999997,251
1167,0.362743649,252
2084,0.36245110300000005,253
2039,0.362134378,254
404,0.361913284,255
728,0.36179687,256
2085,0.361760742,257
1056,0.361641534,258
2072,0.36154260099999996,259
1983,0.36145124,260
475,0.36115765899999996,261
477,0.360991794,262
2032,0.360692116,263
1456,0.36068734399999997,264
2477,0.360129692,265
1582,0.35931501,266
2074,0.35912647000000003,267
458,0.35907037700000005,268
241,0.358878825,269
1387,0.35862984000000003,270
2097,0.358084277,271
392,0.357268229,272
737,0.357182351,273
230,0.35677565099999997,274
1874,0.35670652599999997,275
2120,0.35647420900000004,276
