obs_id,score,rank
1306,0.5811209820000001,1
1551,0.563136724,2
2046,0.556379252,3
432,0.5559456540000001,4
1357,0.552113619,5
425,0.54805815,6
239,0.5461204199999999,7
747,0.538745186,8
794,0.533265793,9
1950,0.526712227,10
1596,0.521835528,11
388,0.514815818,12
53,0.512173785,13
1486,0.510805675,14
2192,0.505973737,15
1235,0.50583684,16
1237,0.504784617,17
1240,0.5046516609999999,18
1196,0.503368289,19
2206,0.498086233,20
1548,0.49785487400000006,21
921,0.497453881,22
1244,0.496989053,23
1298,0.49672098099999995,24
1402,0.49549390000000004,25
1219,0.492587083,26
2383,0.491455142,27
2174,0.490404367,28
1302,0.490286728,29
1476,0.488531129,30
1213,0.48769432,31
1165,0.48754681399999994,32
717,0.487433482,33
1050,0.486565669,34
1628,0.483914717,35
2158,0.48380142,36
1115,0.483190736,37
812,0.48184298400000003,38
2129,0.47978068900000004,39
1273,0.47692163499999995,40
1347,0.476712034,41
1649,0.474977525,42
1526,0.473162409,43
250,0.47201401899999995,44
2066,0.471961987,45
1121,0.46992502199999997,46
1110,0.469900449,47
701,0.46960784899999997,48
415,0.469427576,49
1737,0.468937318,50
1113,0.468745071,51
1257,0.46819188700000003,52
2015,0.46561653999999997,53
437,0.465522508,54
2266,0.465012331,55
990,0.463904698,56
2050,0.4634430729999999,57
731,0.462975453,58
1872,0.462961307,59
187,0.460255089,60
1498,0.45989387099999995,61
1184,0.45863904699999997,62
1958,0.458330416,63
336,0.45683022900000003,64
2119,0.456586217,65
1233,0.456448345,66
1280,0.45521800700000004,67
1238,0.455202917,68
2094,0.453025349,69
2186,0.45169431400000004,70
2381,0.450755176,71
2283,0.449405873,72
615,0.446564164,73
1894,0.444816969,74
1191,0.44438702299999994,75
819,0.444158089,76
421,0.443958181,77
1247,0.443103485,78
1261,0.44302337299999994,79
2020,0.442774069,80
1879,0.44237271899999997,81
284,0.44184178399999996,82
1239,0.44167548599999995,83
2311,0.44109836599999996,84
362,0.440030553,85
730,0.439786237,86
2132,0.439451222,87
2478,0.439117522,88
398,0.43736132400000005,89
2090,0.43681481499999997,90
2127,0.43672917099999997,91
1071,0.436273852,92
1582,0.43570973999999996,93
1080,0.435633002,94
2256,0.43557862199999997,95
2249,0.435466358,96
1058,0.434576959,97
1185,0.433600589,98
392,0.433417612,99
1072,0.43327428799999995,100
1155,0.42991224100000003,101
1263,0.429680692,102
179,0.429674537,103
367,0.429384838,104
2499,0.429171981,105
1021,0.429001092,106
2080,0.428954576,107
174,0.428872897,108
2101,0.428691822,109
2031,0.427695505,110
337,0.427522562,111
448,0.426689678,112
1045,0.426425046,113
1225,0.425783014,114
1444,0.42514193499999997,115
1532,0.424058889,116
460,0.424033524,117
1603,0.423825527,118
1124,0.422961142,119
661,0.422927727,120
214,0.422328826,121
1373,0.42117115699999996,122
2473,0.42102006799999997,123
1538,0.42057547599999995,124
926,0.42038855799999997,125
505,0.420052322,126
2435,0.419942955,127
2188,0.419640066,128
1921,0.418788137,129
1454,0.41858150299999997,130
690,0.417009317,131
931,0.41555935399999994,132
1156,0.414676287,133
1353,0.414208386,134
1276,0.41416979299999995,135
1134,0.41413841799999995,136
604,0.41393119300000003,137
2405,0.41375746599999996,138
326,0.41360706,139
854,0.41351500399999996,140
1720,0.412814348,141
2001,0.412674481,142
2316,0.41266478900000003,143
2391,0.412643273,144
1256,0.41246776799999996,145
2360,0.41211935799999994,146
2008,0.41187356699999994,147
1612,0.411720419,148
1389,0.41089734899999997,149
2077,0.41080331,150
1865,0.410470868,151
1456,0.40960179599999996,152
502,0.409444979,153
445,0.40891085299999996,154
1090,0.407995999,155
820,0.4079667,156
2033,0.407765592,157
141,0.40670997,158
2350,0.406479435,159
1091,0.40520122599999997,160
1042,0.404585578,161
1534,0.40446126699999996,162
1488,0.404370111,163
283,0.403674511,164
424,0.403563367,165
1223,0.40356239099999996,166
2388,0.403413055,167
1299,0.403208253,168
768,0.40313580000000004,169
695,0.403089477,170
458,0.403053241,171
620,0.402860309,172
1892,0.402846906,173
1492,0.402149959,174
1270,0.402147915,175
1387,0.402002672,176
1377,0.400963363,177
749,0.40046328,178
420,0.399914319,179
1544,0.399593183,180
390,0.39894310499999996,181
1371,0.39811217600000004,182
1430,0.398107983,183
1507,0.39795962,184
1616,0.397667427,185
1929,0.3975738,186
2343,0.39756428,187
811,0.397308677,188
1056,0.39730683899999997,189
39,0.397265196,190
1193,0.397226506,191
1408,0.396913613,192
740,0.396648694,193
1277,0.395293338,194
1912,0.394765789,195
728,0.394305019,196
816,0.39405915399999997,197
2368,0.393708962,198
1941,0.393688532,199
1284,0.392925197,200
439,0.392917652,201
2105,0.39279030299999995,202
1150,0.39249070799999997,203
673,0.39236044999999997,204
1925,0.392310518,205
1536,0.39201440899999995,206
2073,0.391941827,207
100,0.39144912600000004,208
2246,0.391410011,209
2430,0.39108937499999996,210
492,0.390873327,211
272,0.390653988,212
1317,0.390285896,213
1545,0.390164007,214
1282,0.390028642,215
78,0.38998263699999997,216
698,0.38958473400000004,217
198,0.389399257,218
303,0.38831578,219
2427,0.388201621,220
238,0.38812196899999996,221
1034,0.38791148999999997,222
2099,0.387674503,223
959,0.38739220099999994,224
1083,0.387168571,225
1993,0.387095911,226
1558,0.387057359,227
348,0.386903184,228
1610,0.38666765399999997,229
1547,0.386246272,230
405,0.386173528,231
2117,0.385827532,232
1729,0.385717003,233
1543,0.38560826000000004,234
2018,0.385013358,235
930,0.384910337,236
1850,0.38487540299999995,237
2147,0.384654025,238
143,0.38450324399999997,239
218,0.384408015,240
1265,0.383928663,241
974,0.383679999,242
682,0.38367695599999996,243
1301,0.38360251599999995,244
481,0.383595645,245
1180,0.38333603699999996,246
1303,0.383222071,247
1880,0.382796023,248
1855,0.382630731,249
1998,0.382483342,250
1826,0.381322183,251
1909,0.38116139199999993,252
29,0.380971553,253
782,0.380827017,254
1640,0.38060758599999994,255
692,0.380407169,256
1066,0.380341435,257
219,0.379877122,258
1221,0.379551583,259
2097,0.37952259,260
1372,0.379019482,261
946,0.378964089,262
20,0.37886709299999993,263
1621,0.378792458,264
308,0.378213272,265
1017,0.378090798,266
1524,0.378088907,267
1146,0.37737057199999996,268
1054,0.377234887,269
79,0.37686160499999993,270
1008,0.376648322,271
2036,0.37637857299999994,272
1188,0.376206243,273
1352,0.37601771399999995,274
316,0.37534427499999995,275
2411,0.375341792,276
1253,0.37522869,277
1313,0.37515854299999996,278
2085,0.37514551,279
1037,0.374932308,280
1024,0.37441932899999997,281
2487,0.374230227,282
2254,0.37420911300000004,283
833,0.374202108,284
1983,0.37419848699999997,285
1174,0.37415597,286
989,0.373877713,287
2061,0.373106255,288
1560,0.373013053,289
2128,0.37230759199999997,290
1167,0.372239671,291
2375,0.372124229,292
888,0.371924282,293
1332,0.371699296,294
1329,0.37163995400000005,295
269,0.37137366699999996,296
760,0.37122561600000004,297
222,0.370946332,298
1140,0.370870561,299
1127,0.37082804599999997,300
2495,0.370615172,301
871,0.37033053,302
1635,0.370185994,303
711,0.369986444,304
1719,0.369985695,305
2394,0.369841475,306
1607,0.3697283939999999,307
