obs_id,score,rank
730,1.105614864,1
367,1.0781555040000002,2
731,1.0268194240000001,3
187,0.958927318,4
2391,0.9423712630000001,5
1913,0.9364688699999999,6
415,0.932995816,7
248,0.9239039109999999,8
1909,0.9232996889999999,9
717,0.922945786,10
239,0.9166910540000001,11
439,0.9164001290000001,12
726,0.9149112880000001,13
214,0.913382777,14
482,0.9123767960000001,15
737,0.905378274,16
298,0.9034140040000002,17
2046,0.900968942,18
1874,0.896996459,19
2085,0.8967175860000001,20
432,0.896142737,21
701,0.8952555990000001,22
460,0.8874672100000001,23
1901,0.8843216690000001,24
1958,0.8843015320000001,25
728,0.882611361,26
711,0.882225874,27
502,0.881197063,28
2360,0.880965191,29
2188,0.8804181690000001,30
2395,0.8785615160000001,31
210,0.875639536,32
790,0.865253717,33
747,0.864874895,34
1262,0.8618002410000001,35
2346,0.8607883390000001,36
215,0.8606955060000001,37
678,0.860604868,38
738,0.85381991,39
682,0.853474664,40
1880,0.851507815,41
1198,0.8510792620000001,42
1551,0.850620543,43
1949,0.8494981070000002,44
181,0.849402143,45
1169,0.8487615800000001,46
723,0.844988613,47
2404,0.843459913,48
302,0.8431050140000002,49
2158,0.8419877060000002,50
189,0.8419669,51
385,0.8413456939999999,52
2022,0.8404761060000001,53
736,0.8404449390000001,54
2024,0.8396901610000002,55
1853,0.839688487,56
744,0.8396227980000001,57
838,0.837723784,58
2018,0.836996524,59
1220,0.836745607,60
2381,0.8351954170000001,61
1083,0.834631181,62
437,0.833893553,63
238,0.833477325,64
1850,0.8329295240000001,65
1983,0.8296029000000001,66
1538,0.829416864,67
2422,0.8282824590000001,68
470,0.8258590550000001,69
390,0.8236092279999999,70
303,0.8232384490000001,71
1233,0.8220904710000001,72
350,0.822032347,73
245,0.818966164,74
1165,0.8182994980000001,75
719,0.818280821,76
1237,0.816969128,77
291,0.816395909,78
230,0.8161176900000001,79
1524,0.812358419,80
1045,0.8116654990000001,81
806,0.809025922,82
814,0.809025922,83
2031,0.808791472,84
1892,0.8077463340000001,85
1991,0.8076456300000001,86
833,0.8075251590000001,87
403,0.8069063330000001,88
2386,0.8062967590000001,89
276,0.8050645850000001,90
702,0.804619391,91
299,0.8039662160000001,92
1191,0.8039658430000001,93
1072,0.8015541530000001,94
722,0.8012049370000001,95
1596,0.799731261,96
1076,0.7994763,97
1526,0.797653523,98
740,0.796619656,99
464,0.7952999410000001,100
205,0.7946352640000001,101
1239,0.7935291520000001,102
73,0.7914888900000001,103
475,0.7914164550000001,104
336,0.791335423,105
1257,0.7913194620000001,106
1184,0.7912003590000001,107
783,0.790465581,108
313,0.7897076530000001,109
2077,0.7881387329999999,110
2155,0.787319626,111
720,0.784788936,112
426,0.783925907,113
206,0.783223269,114
2487,0.782977052,115
366,0.782789106,116
293,0.7827643390000001,117
2430,0.781219866,118
2069,0.781051881,119
345,0.777902654,120
2246,0.7775997230000001,121
283,0.777391537,122
2411,0.7727723620000001,123
310,0.7721526390000001,124
840,0.7713831520000001,125
1040,0.769002281,126
