obs_id,score_beneficiary,score_model,score_field,score_central
1,0.00660135,0.228698614,-0.025139309,0.072801089
2,0.018717158,0.613155701,-0.252266056,-0.100049542
3,0.115687993,0.168443862,-0.108887616,0.062362351
4,0.306701549,0.490980279,0.023228571,0.537737365
5,0.271549496,0.640027821,0.13155646,0.352525125
6,0.197551289,0.780476667,0.079978978,0.365169958
7,-0.007471684,0.237830891,-0.104044023,0.068543331
8,0.152798092,0.539864868,0.08995349,0.525445829
9,0.242573611,0.362073513,-0.009152345,0.185698855
10,0.205034529,0.59415809,0.035019106,0.369490403
11,0.065449786,0.387120694,-0.112951811,0.157915118
12,0.069040813,0.316246999,-0.150242207,0.02347792
13,0.269788814,0.569048149,0.062895284,0.491847165
14,0.3208453,0.650759246,0.146612037,0.532424912
15,0.31181882,0.600922394,0.13524359,0.563386439
16,0.194386254,0.684198429,0.096410904,0.346447144
17,-0.04392012,0.748961029,-0.150128889,0.055491755
18,0.244278171,0.575753223,0.060125312,0.361972757
19,0.107800343,0.567264743,-0.06039419,0.318298232
20,0.378867093,0.290765992,0.253833843,0.511675642
21,0.152258738,0.294479235,0.002713334,0.11599664
22,0.173520022,0.694450595,0.1578285,0.592365815
23,0.308562245,0.706524965,0.130824671,0.457782267
24,0.342858458,0.655868866,0.196229442,0.623126102
25,0.044218693,0.720485869,-0.052360125,0.255398393
26,0.196468024,0.621601044,0.057635478,0.424593182
27,0.136022355,0.676011143,0.063449516,0.37649721
28,0.161229507,0.719067557,-0.00961474,0.247850901
29,0.380971553,0.696823771,0.407671702,0.756350488
30,0.351705147,0.591769058,0.141227825,0.589514337
31,-0.017737205,0.52354433,-0.152326179,0.023200934
32,0.154409718,0.673866266,-0.077430264,0.303835374
33,0.176762208,0.456392788,0.093012292,0.392673961
34,0.12853949,0.754091394,-0.007775786,0.343982487
35,0.146587958,0.548381269,0.102835684,0.20632393
36,0.028632098,0.546504594,-0.146415575,0.190190578
37,-0.065682843,0.269026894,-0.171396298,-0.246261616
38,-0.017912821,0.281952302,-0.301662116,-0.101653184
39,0.397265196,0.125063424,0.243544438,0.421987504
40,0.255942321,0.329440159,-0.086479575,0.297642605
41,0.15997863,0.490550507,0.031575499,0.351077289
42,0.107963245,0.577017997,-0.08283482,0.438346885
43,0.14660992,0.523183861,0.108902729,0.239133539
44,0.304136733,0.150446462,0.16477209,0.381653079
45,0.253274705,0.534808896,0.046814108,0.34760855
46,0.189705599,0.49714898,-0.034713215,0.300027322
47,0.322030479,0.587989389,0.092960892,0.607200446
48,0.178244645,0.313793908,0.013369754,0.267932482
49,0.085997198,0.515883067,0.019578964,0.297714465
50,0.212326683,0.25277968,0.124252394,0.279483613
51,0.344853877,0.587523284,0.066609273,0.575118682
52,0.093857277,0.106771777,-0.003258444,0.114884484
53,0.512173785,0.49053563,0.286968715,0.738933354
54,0.109585747,0.289155114,-0.157173,-0.084251248
55,-0.018628171,0.758419296,-0.097313259,0.140038002
56,0.206637179,0.554260818,0.075171763,0.436244134
57,0.353055913,0.504389173,0.276483163,0.683995588
58,0.249474669,0.581059369,-0.005679388,0.150770193
59,0.243922577,0.482839766,0.259404535,0.458892566
60,0.313927582,0.589616663,0.302398865,0.681073928
61,0.261258789,0.23205094,0.161541395,0.300484354
62,0.325694014,0.614225552,0.150566583,0.332234497
63,-0.009609675,0.692277561,-0.104557418,0.158483404
64,0.039534207,0.598578904,0.033244628,0.047376481
65,0.131788653,0.700450092,-0.100703715,0.176834977
66,0.200668928,0.531195225,-0.095879828,0.49420651
67,0.211137541,0.453626656,0.243729052,0.641050179
68,0.333071914,0.505782713,0.159780952,0.767322522
69,0.020387905,0.209869914,-0.095864288,-0.278953755
70,0.31594611,0.648022588,0.120440365,0.548019543
71,0.199483749,0.593965082,-0.042228683,0.419430976
72,0.266152909,0.387288713,0.11105914,0.548160218
73,0.364029954,0.582256611,0.340866279,0.79148889
74,0.26883978,0.6096858,0.064194317,0.434378433
75,0.359735009,0.49812754,0.167165916,0.59622697
76,-0.039578508,0.599502809,-0.0998771,-0.018322502
77,0.111597891,0.639524234,-0.074581209,0.379120889
78,0.389982637,0.682643305,0.303080695,0.502044208
79,0.376861605,0.300862068,0.17746317,0.341977609
80,0.220940994,0.623401763,-0.024343489,0.376395956
81,0.119686426,0.701594269,0.020631215,0.224142119
82,0.257458899,0.519847839,0.118543566,0.527033152
83,0.11091962,0.572814285,-0.005608711,0.102949831
84,0.266013551,0.384567024,0.104176847,0.369413953
85,0.088691634,0.4448369,-0.032587151,0.159906763
86,0.363384788,0.478833243,0.029508209,0.449126024
87,0.091365844,0.469354548,-0.011573084,0.118408966
88,0.1615359,0.537806964,0.078410032,0.201943398
89,0.051988303,0.505402516,-0.058794794,-0.019155414
90,0.206418532,0.685988798,0.116117208,0.494549667
91,0.117058035,0.301423468,-0.031838721,0.113492157
92,0.099117857,0.43470199,-0.062824943,-0.022396524
93,0.261183642,0.301273439,0.03905858,0.14273858
94,0.015413018,0.55096938,0.020718744,0.295424104
95,0.161161948,0.586258845,0.015968398,0.539984895
96,0.288206893,0.506328789,-0.066549779,0.315355983
97,0.338558024,0.175972929,0.177464857,0.415530599
98,0.035775009,0.74322458,-0.167941809,-0.104599159
99,0.131255973,0.730287012,0.010466185,0.355787321
100,0.391449126,0.542474407,0.260792537,0.658585056
101,0.079454491,0.642706615,0.015602453,0.199766894
102,0.116662358,0.508128856,-0.109255952,0.176369234
103,0.265376208,0.589053742,0.025721739,0.30843079
104,0.175619389,0.451422415,0.163870264,0.536763536
105,0.037856414,0.232476213,-0.234510489,-0.152444437
106,0.338338646,0.680899674,0.204623549,0.453818265
107,-0.060861525,0.543041965,-0.115501642,-0.017976214
108,0.22128841,0.322221956,-0.037123743,0.184602168
109,0.270487474,0.558652442,0.090085119,0.512514515
110,0.193667679,0.181913004,0.07194556,0.173439784
111,0.137449248,0.465087038,0.04566,0.362857668
112,0.296205681,0.556595075,0.156013939,0.468211692
113,0.085613114,0.256464611,0.019264473,0.040534343
114,0.266118915,0.612029384,0.055096837,0.232272371
115,0.033085923,0.490751033,-0.11511572,0.07056415
116,0.08347834,0.203641849,0.02309849,-0.072868519
117,0.198736445,0.235512866,0.145645708,0.312816307
118,0.055979638,0.638830734,-0.066420896,0.199485438
119,0.084173502,0.664038046,0.025772419,0.391164183
120,0.101027422,0.630727593,-0.031675619,0.11809829
121,0.13032617,0.656254785,-0.06919121,0.280523916
122,0.322564823,0.592641548,0.140782461,0.588874147
